System,Outage,Midpoint,Unit,Materials & Mfg,Transport,Use,End-of-Life
Sand Battery,Moderate,"Global warming, Human health",Pt,27.974114,1.5943854,0.16760218,0.011351037
Sand Battery,Moderate,"Global warming, Terrestrial ecosystems",Pt,1.3686366,0.078004288,0.00819878,0.000555327
Sand Battery,Moderate,"Global warming, Freshwater ecosystems",Pt,3.74E-05,2.13E-06,2.24E-07,1.52E-08
Sand Battery,Moderate,Stratospheric ozone depletion,Pt,0.004577579,0.000144305,0.000107029,2.29E-06
Sand Battery,Moderate,Ionizing radiation,Pt,0.015925951,0.000154384,0.000259286,5.31E-07
Sand Battery,Moderate,"Ozone formation, Human health",Pt,0.071553284,0.009731562,0.00042581,0.000115441
Sand Battery,Moderate,Fine particulate matter formation,Pt,59.125008,1.5094515,0.34946417,0.017952254
Sand Battery,Moderate,"Ozone formation, Terrestrial ecosystems",Pt,0.16996532,0.023203589,0.001034731,0.000272343
Sand Battery,Moderate,Terrestrial acidification,Pt,0.78604031,0.018262933,0.004514359,0.000191306
Sand Battery,Moderate,Freshwater eutrophication,Pt,0.25758913,0.002028968,0.00163277,8.33E-06
Sand Battery,Moderate,Marine eutrophication,Pt,0.000147266,5.66E-07,1.55E-07,2.97E-09
Sand Battery,Moderate,Terrestrial ecotoxicity,Pt,0.70904189,0.009056366,0.002038544,1.96E-05
Sand Battery,Moderate,Freshwater ecotoxicity,Pt,0.10360187,0.000481013,0.003892079,9.12E-07
Sand Battery,Moderate,Marine ecotoxicity,Pt,0.026867956,0.000158175,0.000733123,3.82E-07
Sand Battery,Moderate,Human carcinogenic toxicity,Pt,181.17661,0.99538465,1.6473341,0.005476614
Sand Battery,Moderate,Human non-carcinogenic toxicity,Pt,34.193647,0.31874337,0.31946494,0.000359435
Sand Battery,Moderate,Land use,Pt,0.27940547,0.018124343,0.020716992,-0.000606827
Sand Battery,Moderate,Mineral resource scarcity,Pt,0.16860774,0.0004159,0.00084148,1.87E-06
Sand Battery,Moderate,Fossil resource scarcity,Pt,0.70733453,0.10065438,0.004417214,0.000643112
Sand Battery,Moderate,"Water consumption, Human health",Pt,0.76816784,0.005018399,0.001784612,1.15E-05
Sand Battery,Moderate,"Water consumption, Terrestrial ecosystem",Pt,0.078350666,0.00056508,0.001287805,1.45E-06
Sand Battery,Moderate,"Water consumption, Aquatic ecosystems",Pt,6.07E-06,6.46E-08,1.96E-08,2.44E-10
BESS,Moderate,"Global warming, Human health",Pt,230.20927,4.8677974,0,5.84E-02
BESS,Moderate,"Global warming, Terrestrial ecosystems",Pt,11.262785,0.23814749,0,2.85E-03
BESS,Moderate,"Global warming, Freshwater ecosystems",Pt,3.08E-04,6.50E-06,0,7.80E-08
BESS,Moderate,Stratospheric ozone depletion,Pt,6.36E-02,8.46E-04,0,1.18E-05
BESS,Moderate,Ionizing radiation,Pt,0.26112239,3.49E-04,0,2.73E-06
BESS,Moderate,"Ozone formation, Human health",Pt,0.6582009,5.74E-02,0,5.93E-04
BESS,Moderate,Fine particulate matter formation,Pt,631.27332,11.395657,0,9.23E-02
BESS,Moderate,"Ozone formation, Terrestrial ecosystems",Pt,1.5746426,0.13446124,0,1.40E-03
BESS,Moderate,Terrestrial acidification,Pt,9.6445613,0.18145091,0,9.83E-04
BESS,Moderate,Freshwater eutrophication,Pt,2.755372,4.51E-03,0,4.28E-05
BESS,Moderate,Marine eutrophication,Pt,1.01E-03,1.50E-06,0,1.52E-08
BESS,Moderate,Terrestrial ecotoxicity,Pt,1.9716641,1.96E-02,0,1.01E-04
BESS,Moderate,Freshwater ecotoxicity,Pt,1.3695908,1.06E-03,0,4.69E-06
