System,Outage,Midpoint,Unit,Materials & Mfg,Transport,Use,End-of-Life
BESS,Frequent,Fine particulate matter formation,kg PM2.5 eq,60.262192,1.0872814,0,0.00879772
BESS,Frequent,Fossil resource scarcity,kg oil eq,4447.686,95.804282,0,1.0903009
BESS,Frequent,Freshwater ecotoxicity,"kg 1,4-DCB",7322.1387,5.6643857,0,0.024975974
BESS,Frequent,Freshwater eutrophication,kg P eq,15.210869,0.024869695,0,0.000236432
BESS,Frequent,Global warming,kg CO2 eq,14872.456,314.4804,0,3.7696968
BESS,Frequent,Human carcinogenic toxicity,"kg 1,4-DCB",4543.7083,52.049917,0,0.50839786
BESS,Frequent,Human non-carcinogenic toxicity,"kg 1,4-DCB",130839.03,158.40169,0,0.48600628
BESS,Frequent,Ionizing radiation,kBq Co-60 eq,1845.0996,2.4642207,0,0.019286108
BESS,Frequent,Land use,m2a crop eq,716.44457,13.561915,0,-1.3009877
BESS,Frequent,Marine ecotoxicity,"kg 1,4-DCB",9526.1754,12.589311,0,0.069033466
BESS,Frequent,Marine eutrophication,kg N eq,2.1851143,0.00325188,0,3.32E-05
BESS,Frequent,Mineral resource scarcity,kg Cu eq,1615.6264,0.70516157,0,0.00582928
BESS,Frequent,Ozone formation,kg NOx eq,88.503354,7.6348107,0,0.079230343
BESS,Frequent,Stratospheric ozone depletion,kg CFC11 eq,0.007178139,9.56E-05,0,1.33E-06
BESS,Frequent,Terrestrial acidification,kg SO2 eq,168.23763,3.165619,0,0.017158656
BESS,Frequent,Terrestrial ecotoxicity,"kg 1,4-DCB",639202.72,6348.055,0,32.741801
BESS,Frequent,Water consumption,m3,792.33662,0.48537743,0,0.00347553
BESS,Moderate,Fine particulate matter formation,kg PM2.5 eq,60.262192,1.0872814,0,0.00879772
BESS,Moderate,Fossil resource scarcity,kg oil eq,4447.686,95.804282,0,1.0903009
BESS,Moderate,Freshwater ecotoxicity,"kg 1,4-DCB",7322.1387,5.6643857,0,0.024975974
BESS,Moderate,Freshwater eutrophication,kg P eq,15.210869,0.024869695,0,0.000236432
BESS,Moderate,Global warming,kg CO2 eq,14872.456,314.4804,0,3.7696968
BESS,Moderate,Human carcinogenic toxicity,"kg 1,4-DCB",4543.7083,52.049917,0,0.50839786
BESS,Moderate,Human non-carcinogenic toxicity,"kg 1,4-DCB",130839.03,158.40169,0,0.48600628
BESS,Moderate,Ionizing radiation,kBq Co-60 eq,1845.0996,2.4642207,0,0.019286108
BESS,Moderate,Land use,m2a crop eq,716.44457,13.561915,0,-1.3009877
BESS,Moderate,Marine ecotoxicity,"kg 1,4-DCB",9526.1754,12.589311,0,0.069033466
BESS,Moderate,Marine eutrophication,kg N eq,2.1851143,0.00325188,0,3.32E-05
BESS,Moderate,Mineral resource scarcity,kg Cu eq,1615.6264,0.70516157,0,0.00582928
BESS,Moderate,Ozone formation,kg NOx eq,88.503354,7.6348107,0,0.079230343
BESS,Moderate,Stratospheric ozone depletion,kg CFC11 eq,0.007178139,9.56E-05,0,1.33E-06
BESS,Moderate,Terrestrial acidification,kg SO2 eq,168.23763,3.165619,0,0.017158656
BESS,Moderate,Terrestrial ecotoxicity,"kg 1,4-DCB",639202.72,6348.055,0,32.741801
BESS,Moderate,Water consumption,m3,792.33662,0.48537743,0,0.00347553
BESS,Rare,Fine particulate matter formation,kg PM2.5 eq,60.262192,1.0872814,0,0.00879772
BESS,Rare,Fossil resource scarcity,kg oil eq,4447.686,95.804282,0,1.0903009
BESS,Rare,Freshwater ecotoxicity,"kg 1,4-DCB",7322.1387,5.6643857,0,0.024975974
BESS,Rare,Freshwater eutrophication,kg P eq,15.210869,0.024869695,0,0.000236432
BESS,Rare,Global warming,kg CO2 eq,14872.456,314.4804,0,3.7696968
BESS,Rare,Human carcinogenic toxicity,"kg 1,4-DCB",4543.7083,52.049917,0,0.50839786
BESS,Rare,Human non-carcinogenic toxicity,"kg 1,4-DCB",130839.03,158.40169,0,0.48600628
BESS,Rare,Ionizing radiation,kBq Co-60 eq,1845.0996,2.4642207,0,0.019286108
BESS,Rare,Land use,m2a crop eq,716.44457,13.561915,0,-1.3009877
BESS,Rare,Marine ecotoxicity,"kg 1,4-DCB",9526.1754,12.589311,0,0.069033466
BESS,Rare,Marine eutrophication,kg N eq,2.1851143,0.00325188,0,3.32E-05
BESS,Rare,Mineral resource scarcity,kg Cu eq,1615.6264,0.70516157,0,0.00582928
BESS,Rare,Ozone formation,kg NOx eq,88.503354,7.6348107,0,0.079230343
BESS,Rare,Stratospheric ozone depletion,kg CFC11 eq,0.007178139,9.56E-05,0,1.33E-06
BESS,Rare,Terrestrial acidification,kg SO2 eq,168.23763,3.165619,0,0.017158656
BESS,Rare,Terrestrial ecotoxicity,"kg 1,4-DCB",639202.72,6348.055,0,32.741801
BESS,Rare,Water consumption,m3,792.33662,0.48537743,0,0.00347553
BESS,Regular,Fine particulate matter formation,kg PM2.5 eq,60.262192,1.0872814,0,0.00879772
BESS,Regular,Fossil resource scarcity,kg oil eq,4447.686,95.804282,0,1.0903009
BESS,Regular,Freshwater ecotoxicity,"kg 1,4-DCB",7322.1387,5.6643857,0,0.024975974
BESS,Regular,Freshwater eutrophication,kg P eq,15.210869,0.024869695,0,0.000236432
BESS,Regular,Global warming,kg CO2 eq,14872.456,314.4804,0,3.7696968
BESS,Regular,Human carcinogenic toxicity,"kg 1,4-DCB",4543.7083,52.049917,0,0.50839786
BESS,Regular,Human non-carcinogenic toxicity,"kg 1,4-DCB",130839.03,158.40169,0,0.48600628
BESS,Regular,Ionizing radiation,kBq Co-60 eq,1845.0996,2.4642207,0,0.019286108
BESS,Regular,Land use,m2a crop eq,716.44457,13.561915,0,-1.3009877
BESS,Regular,Marine ecotoxicity,"kg 1,4-DCB",9526.1754,12.589311,0,0.069033466
BESS,Regular,Marine eutrophication,kg N eq,2.1851143,0.00325188,0,3.32E-05
BESS,Regular,Mineral resource scarcity,kg Cu eq,1615.6264,0.70516157,0,0.00582928
BESS,Regular,Ozone formation,kg NOx eq,88.503354,7.6348107,0,0.079230343
BESS,Regular,Stratospheric ozone depletion,kg CFC11 eq,0.007178139,9.56E-05,0,1.33E-06
BESS,Regular,Terrestrial acidification,kg SO2 eq,168.23763,3.165619,0,0.017158656
BESS,Regular,Terrestrial ecotoxicity,"kg 1,4-DCB",639202.72,6348.055,0,32.741801
BESS,Regular,Water consumption,m3,792.33662,0.48537743,0,0.00347553
Propane,Frequent,Fine particulate matter formation,kg PM2.5 eq,10.038052,0.09383631,14.602384,0.004683807
Propane,Frequent,Fossil resource scarcity,kg oil eq,3267.9861,22.17062,8563.4784,0.59888082
Propane,Frequent,Freshwater ecotoxicity,"kg 1,4-DCB",1108.4192,1.8533303,397.67292,0.018744891
Propane,Frequent,Freshwater eutrophication,kg P eq,2.1374492,0.007648736,2.2799194,0.000284129
Propane,Frequent,Global warming,kg CO2 eq,4050.552,69.737991,26057.573,2.1495215
Propane,Frequent,Human carcinogenic toxicity,"kg 1,4-DCB",23454.751,12.747536,4756.6375,0.27651674
Propane,Frequent,Human non-carcinogenic toxicity,"kg 1,4-DCB",15701.514,58.374,6673.3004,0.50507671
Propane,Frequent,Ionizing radiation,kBq Co-60 eq,169.20913,0.66597494,261.98017,0.019047604
Propane,Frequent,Land use,m2a crop eq,176.83302,3.0903799,217.84045,-0.21746666
Propane,Frequent,Marine ecotoxicity,"kg 1,4-DCB",1606.1651,3.8472209,815.21325,0.047186264
